dataset,model,Continuous_Mean_WD,Continuous_Mean_KL_50bins,Continuous_Corr_Pearson,mmd,Discrete_Cat_Mean_KL,Pairwise_MI_Err,Discrete_Mean_KL,Discrete_Corr_Spearman,Categorical_Mean_KL,Categorical_NMI,fit_time,tstr_f1_real,tstr_f1_synth,tstr_f1_deviation_%,tstr_f1_diff_raw,fold,tstr_r2_real,tstr_r2_synth,tstr_r2_deviation_%,tstr_r2_diff_raw
Churn Modelling,msbm,0.05976201340704681,0.14792700844958123,0.13644512104648393,0.001406238290895423,0.0014372397728826321,19.81182512135424,0.0015654291104905567,0.27844734691338524,0.001116766428862821,0.0017698452954904454,59.91564207077026,0.754583145289679,0.5930421403735192,21.413493198851913,0.16154100491615972,mean,,,,
Auto MPG,msbm,0.273296612716959,0.6807705344172466,0.6236125269070651,0.03973564722913092,0.06782266084300773,1.3244451579160386,0.06782266084300773,0.21729139287791946,,,25.196277379989624,,,,,0,0.8431013051103857,0.8450462166220718,-0.23068538737838062,-0.001944911511686076
Auto MPG,msbm,0.3624303268378228,0.9864128836073883,0.5062407392805373,0.06993480774680005,0.3553675488816135,1.3108708163521716,0.3553675488816135,0.3173304416355533,,,21.435964584350586,,,,,1,0.8553829604530471,0.8157867003946598,4.629068135448406,0.039596260058387234
Auto MPG,msbm,0.13369977485013268,0.9844470089774612,0.8099746880721843,0.009129443071826837,0.06658806519422643,0.5714007434497345,0.06658806519422643,0.20487350399532067,,,24.491400241851807,,,,,2,0.8909774815666078,0.8240995770439571,7.506127360823886,0.06687790452265074
Auto MPG,msbm,0.29381358076678915,0.8118337389527319,0.6571570882644112,0.030673236680268223,0.1037067814123852,1.4867402912210959,0.1037067814123852,0.4062567765841607,,,23.296626329421997,,,,,3,0.8809209365500046,0.7155228211873392,18.775591372640363,0.16539811536266535
Auto MPG,msbm,0.38453351773225775,1.4906438617779965,1.3784710447690713,0.04002759635409314,0.11046549213160305,0.6988576867437505,0.11046549213160305,0.2683572751532242,,,25.230019569396973,,,,,4,0.8268320499708048,0.7201798675125464,12.898893126122084,0.10665218245825847
Auto MPG,msbm,0.28955476258079227,0.990821605546565,0.7950912174586539,0.03790014621642383,0.14079010969256717,1.078462939136558,0.14079010969256717,0.28282187804923564,,,23.9300576210022,,,,,mean,0.85944294673017,0.7841270365521147,8.71579892153127,0.07531591017805514
Diamonds,msbm,0.10875626422264752,0.20192756902221407,0.604681272716868,0.006571618917328714,0.0037626731871964795,2.995886074107154,,,0.0037626731871964795,0.03371760669033732,67.28281760215759,,,,,0,0.9816097650170876,0.952620380158131,2.9532494370053457,0.028989384858956635
Diamonds,msbm,0.0824028458013747,0.14452256987703035,0.37235746672487413,0.0022920323347012106,0.003294997518778506,2.8555817264755574,,,0.003294997518778506,0.03259989336860613,68.406409740448,,,,,1,0.9834766584445555,0.9607382305528646,2.3120455067691674,0.022738427891690893
Diamonds,msbm,0.08945980290039764,0.16373709040672835,0.3715637947670617,0.003361269124370292,0.00911373933816662,3.041170029626867,,,0.00911373933816662,0.03916331599462615,57.92281770706177,,,,,2,0.9823736027958304,0.9569727034385158,2.5856659101001664,0.0254008993573146
